helka,hepro,heavd,heopd,hekdpl,hekft1,heft1,hedtcp,hekdkk,hesdt,hevalp,hesdff,hesdvt,hest,heur,hesg,hedtr,hegnn,hegn,heplan,trrund,hesaml,hehawb,hesdla,hesdl,hevalt,heknt,hekns,henas,hekdfs,hevals,heknsf,heans,henasf,heknk,henak,hekdfk,hevalk,heknkf,heank,henakf,heot,hedtop,hedtmp
NO,501153,1,53401,,,,20,,1000,0,6000,0152,O,A,TR,20021015,,2002,,0,,,,,OIL,0,2,CARGO HANDLING (MIAMI) INC,,NOK,2,0,CARGO HANDLING (MIAMI) INC,1,Systema AS,,NOK,1,0,SYSTEMA A/S,TI,20021015,10
NO,501153,1,53402,,,,20,,NO01,0,6011,0152,O,A,TR,20021015,,200212345678901,,0,,,,,OIL,0,2,CARGO HANDLING (MIAMI) INC,,NOK,2,0,CARGO HANDLING (MIAMI) INC,1,Systema AS,,NOK,1,0,SYSTEMA A/S,TI,20021015,10
DE,501279,1,53403,,,,0,,,0,,,,A,CB,20021017,,200234567,,0,,281096502,,,,0,0,MELCHERS & HINRICHS GMBH,X,,0,0,,0,WITTUSEN & JENSEN AS,X,,0,0,,FT,20021017,0
NO,501280,1,53404,,,,0,,1000,0,1390,1390,,A,CB,20021017,,2002,,0,,631134625,,,,0,0,Muhr und Bender,X,,0,0,,0,MEIDELL AS,X,,0,0,,FT,20021017,0
"",501281,1,53405,,,,0,,,0,,,,A,CB,20021017,,,,0,,735049480,,,,0,0,Riegler + Co. KG,X,,0,0,Riegler + Co. KG,0,BUERKERT CONTROLMATIC,X,,0,0,BUERKERT CONTROLMATIC,,20021017,0
DE,501282,1,53406,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,101087499,,,,0,0,Hartner GmbH,X,,0,0,,0,UNIMERCO AS,X,,0,0,,FT,20021017,0
NO,501283,1,53407,,,,0,,3000,0,1010,3722,,A,CB,20021017,,,,0,,101195056,,,,0,0,GUEHRING OGH,X,,0,0,,0,OBERG VERKTOY AS,X,,0,0,,FT,20021017,0
DE,501284,1,53408,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,202188530,,,,0,0,Canel Handels GmbH,X,,0,0,,0,SUR ZONE DA,X,,0,0,,FT,20021017,0
DE,501285,1,53409,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,101195054,,,,0,0,GUEHRING GMBH,X,,0,0,,0,RECA NORGE AS,X,,0,0,,FT,20021017,0
DE,501286,1,53410,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,101087499,,,,0,0,Hartner GmbH,X,,0,0,,0,UNIMERCO AS,X,,0,0,,FT,20021017,0
DE,501287,1,53411,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,101195054,,,,0,0,GUEHRING GMBH,X,,0,0,,0,RECA NORGE AS,X,,0,0,,FT,20021017,0
DE,501289,1,53412,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,970411913,,,,0,0,PATAGONIA MAIL ORDER INC,X,,0,0,,0,ARNE ABRAHAMSEN,X,,0,0,,FT,20021017,0
DE,501290,1,53413,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,970411936,,,,0,0,ERIN JOY BORGE,X,,0,0,,0,ELLA TARLEN,X,,0,0,,FT,20021017,0
NO,501391,1,53414,,,,0,,OSL,0,OSL,OSL,,B,YBC,20021017,,200601011111001,,0,,AA31842,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,1000,THARA IMPORT AS,X,NOK,1000,0,SYSTEMA A/S,IN,20020507,0
DE,501291,1,53415,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,900352684,,,,0,0,TIMELESS,X,,0,0,,0,MUSIKKLOSEN,X,,0,0,,FT,20021017,0
NO,501391,1,53416,,,,0,,OSL,0,,,,B,YBC,20021017,,200601011111001,,0,,AA31842,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,1000,THARA IMPORT AS,X,NOK,1000,0,SYSTEMA A/S,EB,20020228,0
NO,0,1,53417,,,,20,,OSL,0,,,O,A,YBC,20021017,,,,0,,,,,,0,176,THARA IMPORT AS,,,0,0,,176,Toys & Roys,X,,0,0,,,20020507,11
NO,501292,1,53418,,,,0,,1000,0,6710,0605,,A,CB,20021017,,2002,,0,,900352684,,,,0,0,TIMELESS,X,,0,0,,0,MUSIKKLOSEN,X,,0,0,,FT,20021017,0
DE,501316,1,53419,,,,20,,1000,0,2000,1000,O,A,SH,20021017,,2002,,0,,101087499,,,,0,24,Hartner GmbH,X,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,30,UNIMERCO AS,,NOK,50,0,VOLVO BM MASKIN A/S,FT,20021017,11
NO,0,1,53420,,,,20,,OSL,0,,,O,B,STB,20021017,,,,0,,,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,176,NORGE,X,NOK,176,0,THARA IMPORT AS,BE,20021017,11
"",501294,1,53421,,,,0,,,0,,,,A,CB,20021017,,,,0,,900552004,,,,0,0,ERREEMME,X,,0,0,ERREEMME,0,TROFE,X,,0,0,TROFE,,20021017,0
DE,501295,1,53422,,,,0,,,0,,,,A,CB,20021017,,2002,,0,,900552004,,,,0,0,NEMKO,X,,0,0,,0,NEMKO,X,,0,0,,FT,20021017,0
DE,501296,1,53423,,,,0,,,0,,,,A,CB,20021018,,2002,,0,,,,,,0,0,ERREEMME,X,,0,0,,0,TROFE,X,,0,0,,FT,20021018,0
NO,501297,1,53424,,,,0,,1000,0,1313,1313,,A,CB,20021018,,2002,,0,,,,,,0,0,MORBID,X,,0,0,,0,ESKOLEIA,X,,0,0,,FT,20021018,0
NO,0,1,53425,,,,20,,OSL,0,,,O,B,STB,20021018,,,,0,,,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,176,BORREBAKKEN 342,X,NOK,176,0,THARA IMPORT AS,BE,20021017,3
NO,501298,1,53426,,,,0,,OSL,0,,,,A,YBC,20021018,,,,0,,,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,176,Toys & Roys,X,NOK,176,0,THARA IMPORT AS,BT,20020828,0
DK,501299,1,53427,,,,0,,,0,,,,A,CB,20021018,,200201057,,0,,,,,,0,0,NEMKO,X,,0,0,,0,NEMKO,X,,0,0,,FT,20021018,0
NO,501300,1,53428,,,,0,,2600,0,1511,2607,,A,CB,20021018,,200201057,,0,,,,,,0,0,ERREEMME,X,,0,0,,0,TROFE,X,,0,0,,FT,20021018,0
"",0,1,53429,,,,0,,RTM,0,,,U,S,YBC,20021022,,,,0,,000000000,,,,0,10008554,Fred Olsen Lines,,,0,0,,0,TEST,,,0,0,,,20021022,0
DK,501301,1,53430,,,,0,,,0,,,,A,CB,20021023,,200201057,,0,,,,,,0,0,EURO-GAS SERVICES LTD,X,,0,0,,0,HAKON RYGH AS,X,,0,0,,FT,20021023,0
NO,501547,1,53431,,,,0,,OSL,0,AMS,OSL,,B,JOV,20021023,,,,0,,,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,72,Thara detaljist,X,NOK,72,0,ANDERSEN KONTORMØBLER,EX,20021023,0
NO,501302,1,53432,,,,0,,1000,0,2220,4054,,A,CB,20021024,,200201057,,0,,,,,,0,0,BURTON PERFORMANCE CENTRE LTD,X,,0,0,,0,OLE ERIK LARSEN,X,,0,0,,FT,20021024,0
NO,501305,1,53433,,,,0,,BGO,0,,,,E,YBC,20021104,,009650870294,,0,,000000000,,,,615,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,60,ØYEOPTIKK A/S,X,NOK,60,0,ØYEOPTIKK A/S,IN,20021104,0
NO,501317,1,53434,,,,0,,CPH,0,6222,3460,,A,CB,20021106,,200201057,,0,,,,,,0,0,WV AUDI BREAKERS,X,,0,0,,0,NORSK BILDENSENTER A/S,X,,0,0,,FT,20021106,0
NO,501318,1,53435,,,,0,,BGO,0,,,,E,YBC,20021120,,00000000000,,0,,000000000,,,,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,0,PEDER AAS,X,,0,0,,IN,20021120,0
NO,501463,1,53436,,,,0,,HAM,0,,,,H,YBC,20021127,,009650870305,,856,,FREDRIKST,,,OIL,615,70,Andersen kontormøber,,NOK,70,0,ABC SYSTEMER A/S,0,XXX,X,,0,0,,FT,20021128,0
"",0,1,53437,,,,20,,,0,,,O,A,JOV,20021127,,,,0,,,,,,0,0,Andersen,X,,0,0,,176,THARA IMPORT AS,,,176,0,,,20021127,11
DE,501329,1,53438,,,,0,,,0,,,,C,SH,20021204,,,,0,,,,,,0,24,IL-X BUD-SERVICE A/S,X,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,FT,20021204,0
DE,501316,1,53439,,,,20,,1000,0,2000,1000,O,A,SH,20021206,,2002,,0,,101087499,,,OIL,0,24,Hartner GmbH,X,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,24,UNIMERCO AS,,NOK,24,0,IL-X BUD-SERVICE A/S,FT,20021206,12
NO,0,1,53440,,,,0,,5000,0,,1500,S,H,TH,20021206,,,,0,,,,,OIL,0,25,*SLETTET*,X,,0,0,,25,T. S. JACOBSEN A/S,,NOK,1,0,SYSTEMA A/S,IF,20111020,0
NO,501330,1,53441,,,,0,,1000,0,5000,1000,,A,JOV,20021211,,2002,,0,,,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,176,VOICE SVERGE AB,X,NOK,176,0,THARA IMPORT AS,IN,20021211,0
NO,501331,1,53442,,,,0,,1000,0,5000,1000,,A,JOV,20021211,,2002,,0,,,,terminalen,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,176,2001009071 040101 VOICE SVERIG,X,NOK,176,0,THARA IMPORT AS,IN,20021211,0
"",0,1,53443,,,,20,,,0,,,O,A,JOV,20030106,,,,0,,,,,,0,0,LEVERINGSADRESSE 7,X,,0,0,,176,THARA IMPORT AS,,,176,0,,,20030106,11
GB,501186,1,53444,,,,0,,,0,,,,C,MS,20030108,,AW,,0,,HAW,,"Fred Olsen,Sørenga",,0,0,LAURA ASHLEY,,NOK,24,0,IL-X BUD-SERVICE A/S,0,LAURA ASHLEY,,NOK,24,0,IL-X BUD-SERVICE A/S,FT,20030108,0
DE,501316,1,53445,,,,20,,OSL,0,HAM,OSL,O,A,SH,20030110,,2003,,0,,101087499,,,OIL,0,24,Hartner GmbH,X,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,24,UNIMERCO AS,,NOK,24,0,IL-X BUD-SERVICE A/S,FT,20030110,1
DE,501316,1,53446,,,,20,,OSL,0,HAM,OSL,O,A,SH,20030110,,2003,,0,,101087499,,,OIL,0,24,Hartner GmbH,X,NOK,30,0,LINJEGODS A/S,30,UNIMERCO AS,,NOK,30,0,LINJEGODS A/S,FT,20030110,1
NO,501333,1,53447,,,,0,,5000,0,1000,5000,,A,JOV,20030115,,200312345123450,,0,,HILDU,,,OIL,0,24,KJHKJH,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,0,ØKJLKJL,X,,0,0,,IN,20030115,0
NO,501334,1,53448,,,,0,,1000,0,1000,1000,,A,JOV,20030115,,2002,,0,,,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,1000,THARA IMPORT AS,X,NOK,1000,0,SYSTEMA A/S,IN,20020504,0
NO,0,1,53449,,,,20,,OSL,0,,,O,A,JOV,20030115,,2002,,0,,,,,,0,176,THARA IMPORT AS,,,0,0,,176,Test leveringsadr,X,,0,0,,,20011112,11
DE,501547,1,53450,,,,0,,DES01,0,0152,1700,,B,JOV,20030122,,,,0,,,,,,0,91,BAMA A/S,,NOK,91,0,BAMA A/S,0,MATEN SHMIDT & SOHN GMBH,X,NOK,27,0,STEIN KAASEN,BE,20030122,0
DE,0,1,53451,,,,20,,1000,0,0152,1700,O,B,JOV,20030122,,,,0,,,,,,0,24,BAMA A/S,,NOK,91,0,BAMA A/S,0,Åsane teppesenter,X,,0,0,,BE,20030122,1
DE,501336,1,53452,,,,20,,1000,0,1700,0572,O,A,JOV,20030122,,200301256012001,,0,,BL15681,,,OIL,0,0,BEYER & SOHN,X,,0,0,,27,Stein Kaasen,,NOK,27,0,STEIN KAASEN,FO,20030122,1
SE,501337,1,53453,,,,20,,3000,0,STO,3014,O,A,JOV,20030122,,2003,,0,,,,,OIL,0,0,SVENSKA AKKADEMIEN,X,,0,0,,176,KVÆRNER INDUSTRIER A/S,,NOK,176,0,THARA IMPORT AS,FO,20030122,1
NO,501339,1,53454,,,,0,,5000,0,0192,5871,,A,STB,20030206,,2003,,0,,,,,OIL,0,0,SYSTEMA AS,X,,0,0,,0,HAUKEDAL TRANSP. & SPEDISJ. AS,X,NOK,0,0,,BT,20030206,0
NO,501339,1,53455,,,,0,,5000,0,0192,5871,,A,STB,20030206,,2003,,0,,,,,OIL,0,0,SYSTEMA AS,X,,0,0,,0,HAUKEDAL TRANSP. & SPEDISJ. AS,X,NOK,0,0,,BT,20030206,0
NO,501453,1,53456,,,,20,,1000,0,6011,0152,O,A,TR,20030211,,2006,,0,,,,,OIL,0,2,CARGO HANDLING (MIAMI) INC,,NOK,2,0,CARGO HANDLING (MIAMI) INC,1,Systema AS,,NOK,1,0,SYSTEMA A/S,TI,20030211,1
NO,501341,1,53458,,,,0,,BGO,0,DRM,,,F,JOV,20030218,,,,0,,,,,,0,0,"HI-TEX TRADING CO., LTD.",X,,0,0,,0,TO STOF TEXTILE A.S,X,,0,0,,IN,20010223,0
"",501342,1,53461,,,,0,,OSL,0,OSL,,U,G,JOV,20030423,,,,0,,,,,,0,0,MASTER HOUSEHOLD LIMITED,X,,0,0,,0,TO ORDER,X,,0,0,,,20020311,0
"",0,1,53463,,,,20,,,0,,,O,A,YBC,20030219,,,,0,,,,,,0,0,TEST,X,,0,0,,175,Svein Terje Berg,,,175,0,,,20030219,11
NO,501343,1,53464,,,,20,,1000,0,1472,1472,O,A,YBC,20030219,,201101050291005,,0,,,,,OIL,0,175,Svein Terje Berg,,NOK,50,0,VOLVO BM MASKIN A/S,175,Svein Terje Berg,X,NOK,0,0,,DI,20111018,1
NO,501344,1,53465,,,,20,,OSL,0,OSL,,O,F,JOV,20030219,,,,0,,,,,,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,70,svein huse,,NOK,70,0,ABC SYSTEMER A/S,IN,20030222,2
NO,501345,1,53467,,,,0,,OSL,0,OSL,,,F,JOV,20030219,,,,0,,,,,,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,30,IL-X BUD-SERVICE A/S,,NOK,28,0,KVÆRNER INDUSTRIER A/S,B1,20020315,0
"",501346,1,53468,,,,0,,OSL,0,OSL,,U,F,JOV,20030219,,,,0,,,,,,0,0,DAEGO CO. LTD.,X,,0,0,,0,TO ORDER,X,,0,0,,,20010223,0
NO,501462,1,53469,,,,0,,,0,,,,B,TR,20030304,,,,0,,EKSP_NAVN,,,,0,1,Systema AS,,NOK,1,0,SYSTEMA A/S,2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,NOK,1,0,SYSTEMA A/S,BE,20030304,0
NO,501547,1,53470,,,,0,,NO05,0,0192,5000,,B,TR,20030304,,,,0,,,,,,0,1,Systema AS,,NOK,1,0,SYSTEMA A/S,2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,NOK,1,0,SYSTEMA A/S,BE,20030304,0
NO,501547,1,53471,,,,0,,NO05,0,0192,5000,,B,TR,20030304,,,,0,,,,,,0,1,TEST KUNDE1,,NOK,1,0,SYSTEMA A/S,2,3 part,,NOK,2,0,CARGO HANDLING (MIAMI) INC,BE,20030304,0
NO,501462,1,53472,,,,0,,,0,,,,B,TR,20030304,,,,0,,EKSP_NAVN,,,,0,1,Systema AS,,NOK,1,0,SYSTEMA A/S,2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,NOK,1,0,SYSTEMA A/S,BE,20030304,0
NO,501735,1,53473,,,,0,,,0,,,,B,TR,20030304,,,,0,,,,,,0,1,Systema AS,,NOK,1,0,SYSTEMA A/S,2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,NOK,1,0,SYSTEMA A/S,BE,20030304,0
NO,501716,1,53474,,,,20,,1000,0,0192,OSLO,O,B,TR,20030304,,,,0,,,,,,0,1,Systema AS,,NOK,1,0,SYSTEMA A/S,2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,NOK,1,0,SYSTEMA A/S,BE,20150701,1
NO,501856,1,53475,,,,0,,5000,0,0152,5001,,B,TR,20030304,,,,0,,,,,,0,2,Systema AS,,NOK,2,0,CARGO HANDLING (MIAMI) INC,2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,NOK,2,0,CARGO HANDLING (MIAMI) INC,BE,20030304,0
NO,501856,1,53476,,,,0,,6000,0,0192,6360,,B,TR,20030304,,,,0,,,,,,0,2,Systema AS,,NOK,2,0,CARGO HANDLING (MIAMI) INC,2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,NOK,2,0,CARGO HANDLING (MIAMI) INC,BE,20030304,0
NO,501347,1,53477,,,,0,,1000,0,0111,0102,,A,YBC,20030312,,2002,,0,,,,,,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,176,TOYS & ROYS,X,NOK,176,0,THARA IMPORT AS,DU,20020507,0
NO,501348,1,53478,,,,0,,2600,0,OSL,2830,,A,CB,20030312,,2003,,0,,,,,,0,1,Danzas ASG Solutions Tangerud,X,NOK,1,0,SYSTEMA A/S,1,B.10223 A/S VINMONOPOLET,X,NOK,1,0,SYSTEMA A/S,FO,20030312,0
NO,501349,1,53479,,,,0,,1000,0,1000,0152,,A,CB,20030312,,,,0,,,,,,0,1,Danzas ASG Solutions Tangerud,X,NOK,1,0,SYSTEMA A/S,1,Systema AS,X,NOK,1,0,SYSTEMA A/S,FO,20030312,0
KG,501350,1,53480,,,,0,,1000,0,OSS,OSLO,D,A,CB,20030312,,2003,,0,,,,,,0,1,Danzas ASG Solutions Tangerud,X,NOK,1,0,SYSTEMA A/S,1,B.10223 A/S VINMONOPOLET,X,NOK,1,0,SYSTEMA A/S,FO,20030312,0
NO,501344,1,53481,,,,0,,1000,0,OSL,0393,,A,JOV,20030319,,2003,,0,,,,,OIL,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,70,svein huse,,NOK,70,0,ABC SYSTEMER A/S,IN,20030319,0
NO,501344,1,53482,,,,0,,1000,0,OSL,0393,,A,JOV,20030319,,2003,,0,,,,,OIL,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,70,svein huse,,NOK,70,0,ABC SYSTEMER A/S,IN,20030319,0
DE,0,1,53483,,,,0,,1000,0,0152,1700,,B,JOV,20030324,,,,0,,,,,,0,24,BAMA A/S,,NOK,91,0,BAMA A/S,0,Åsane teppesenter,X,,0,0,,BE,20030324,0
"",0,1,53484,,,,0,,,0,,,U,S,YBC,20030325,,,,0,,000000000,,,,0,211,Kloster Cruise Ltd.,,,0,0,,0,TEST,,,0,0,,,20030325,0
DE,501352,1,53485,,,,20,,6000,0,1220,6000,O,A,SH,20030331,,2002,,0,,,,,OLJ,0,0,XX,X,,0,0,,2,CARGO HANDLING (MIAMI) INC,,NOK,24,0,IL-X BUD-SERVICE A/S,FT,20030331,3
NO,501344,1,53486,,,,0,,1000,0,OSL,0393,,A,JOV,20030331,,2003,,0,,,,,OIL,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,70,svein huse,,NOK,70,0,ABC SYSTEMER A/S,IN,20030702,0
NO,501222,1,53487,,,,0,,HAM,0,,,,H,JOV,20030407,,,,762,,AB12345,,,OIL,0,0,X,X,,0,0,,24,IL-X BUD-SERVICE A/S,,NOK,24,0,IL-X BUD-SERVICE A/S,FT,20010914,0
DE,501267,1,53488,,,,20,,OSL,0,,,O,C,SH,20030422,,200208017,,0,,,,,,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,IN,20030422,4
SE,501356,1,53489,,,F18 SE NOTIS,0,,,0,,,,A,JOV,20030516,,222222222222222,,0,,HHKT328,,10 DAGERS LAGER,,1,0,DAROS PISTON RINGS AB,,,24,0,,0,DAROS INDUSTRIAL RINGS,,,0,0,,FU,20030516,0
SE,8000019,1,53490,,,F18 SE NOTIS,0,,,0,,,,A,JOV,20030516,,,,0,,BVT611,,10 DAGERS LAGER,,1,0,ASTRA TECH AB,,,24,0,,0,ASTRA TECH,,,0,0,,FU,20030517,0
SE,501358,1,53491,,,F18 SE NOTIS,0,,,0,,,,A,JOV,20030516,,,,0,,CHARTER,,10 DAGERS LAGER,,1,0,BUDGET GOLF,X,,0,0,,0,GOLF EXPERTEN,,,0,0,,FU,20030517,0
SE,8000019,1,53492,,,F18 SE NOTIS,0,,,0,,,,A,JOV,20030516,,,,0,,BVT611,,10 DAGERS LAGER,,1,0,ATLET AB,,,24,0,,0,EXEL GERMANY GMBH,,,0,0,,FU,20030519,0
GB,501362,1,53496,,,,0,,LON,0,,,,C,TR,20030518,,11719781775,,0,LON007,000101051,,"Fred Olsen,Sørenga",,5,0,LAURA ASHLEY,,NOK,50,0,VOLVO BM MASKIN A/S,2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,USD,5,0,AVIS BILUTLEIE A/S,FT,20030518,0
NL,501088,1,53497,,,,20,,0975,0,,,O,H,SH,20030526,,,,0,,,,,OIL,0,0,HOLLANDSKUNDE,X,,0,0,,10008575,HAMO MASKIN A/S,,NOK,10008575,0,HAMO MASKIN A/S,FT,20030526,11
DE,501316,1,53498,,,,20,,1000,0,2000,1000,O,A,SH,20030605,,2003,,0,,101087499,,,OIL,0,24,Hartner GmbH,X,NOK,30,0,LINJEGODS A/S,30,UNIMERCO AS,,NOK,50,0,VOLVO BM MASKIN A/S,FT,20030605,6
DE,501316,1,53499,,,,20,,1000,0,2000,1000,O,A,SH,20030605,,2003,,0,,101087499,,,OIL,0,24,Hartner GmbH,X,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,30,UNIMERCO AS,,NOK,50,0,VOLVO BM MASKIN A/S,FT,20030605,6
NO,501528,1,53500,,,,0,,1000,0,1000,1000,,B,TH,20030610,,,,0,,A,,,,0,1,Systema AS,X,,0,0,,24,IL-X BUD-SERVICE A/S,X,,0,0,,BE,20030610,0
NO,501367,1,53501,,,,20,,3000,0,1472,3014,O,A,JOV,20030717,,2003,,0,,,,,OIL,0,175,Svein Terje Berg,,NOK,175,0,Svein Terje Berg,176,Test leveringsadr,,NOK,176,0,THARA IMPORT AS,IN,20030717,3
NO,0,1,53502,,,,20,,3000,0,1472,3014,O,A,JOV,20030717,,2003,,0,,,,,OIL,0,600002,test kunde,,NOK,600002,0,test kunde,175,TEST JOV TLF,,NOK,176,0,THARA IMPORT AS,IN,20030717,11
SE,0,1,53503,,,F18 SE NOTIS,0,,,0,,,,B,WEB,20030402,,,,0,,FMS045,,10 DAGERS LAGER,,1,176,FORBO PARQUET AB,,,24,0,,0,C.J VOGT GES. M.B.H. & CO KG,,,0,0,,FU,20030322,0
SE,0,1,53504,,,F18 SE NOTIS,0,,,0,,,,B,WEB,20030815,,,,0,,FMS045,,10 DAGERS LAGER,,1,176,PAPYRUS AB,X,,0,0,,0,FRANS MAAS DEUTCHSLAND GMBH,,,0,0,,FU,20030322,0
"",0,1,53505,,,,20,,HAM,0,,,O,A,JOV,20030827,,,,0,,,,,OIL,0,176,IL-X BUD-SERVICE A/S,,,0,0,,30,LINJEGODS A/S xxxxxxxxxxxxxxxx,,,0,0,,,20030827,11
DE,501222,1,53506,,,,0,,0256,0,,,,H,JOV,20030909,,200301234256001,,0,,,,,,0,0,Goldmeuer GMBH,X,,0,0,,62,AAS & WAHL GRAFISKE A/S,,NOK,62,0,AAS & WAHL GRAFISKE A/S,FT,20010914,0
DE,501152,1,53507,,,,20,,0256,0,,,O,H,JOV,20030909,,200301234257001,,0,,,,,,0,0,Goldmeuer GMBH,X,,0,0,,62,AAS & WAHL GRAFISKE A/S,,NOK,62,0,AAS & WAHL GRAFISKE A/S,FT,20030924,9
NO,0,1,53508,,,,20,,1000,0,1000,0152,O,A,YBC,20030910,,2003,,0,,,,,OIL,0,1000,SYSTEMA A/S,,NOK,1000,0,SYSTEMA A/S,1000,SYSTEMA A/S ny adr.,X,NOK,1000,0,SYSTEMA A/S,DI,20030910,9
NO,0,1,53509,,,,20,,1000,0,0192,0152,O,A,YBC,20030910,,2003,,0,,,,,OIL,0,1000,SYSTEMA A/S,,NOK,1000,0,SYSTEMA A/S,1000,SYSTEMA A/S ny adr.,X,NOK,1000,0,SYSTEMA A/S,DI,20030910,9
NO,0,1,53510,,,,20,,1000,0,0192,0152,O,A,YBC,20030910,,2003,,0,,,,,OIL,0,1000,SYSTEMA A/S,,NOK,1000,0,SYSTEMA A/S,1000,SYSTEMA A/S ny adr.,X,NOK,1000,0,SYSTEMA A/S,DI,20030910,9
NO,99999999,1,53511,,,,0,,OSL,0,,,S,C,JOV,20030917,,*DELETE*,,0,,,,,,0,0,MASTER HOUSEHOLD LIMITED,X,,0,0,,0,TO ORDER,X,,0,0,,F1,20030917,0
"",0,1,53512,,,,0,,RTM,0,,,U,S,JOV,20030930,,,,0,,000000000,,,,0,0,Kloster Cruise Ltd.,,,0,0,,0,TESTTTT,,,0,0,,,20030930,0
DE,501222,1,53513,,,,20,,1000,0,,1500,O,H,JOV,20031010,,,,0,,,,,,0,0,PEDER AAS,X,,0,0,,62,AAS & WAHL GRAFISKE A/S,,NOK,62,0,AAS & WAHL GRAFISKE A/S,FT,20010914,10
DE,501372,1,53514,,,,0,,1000,0,1500,1330,,A,JOV,20031016,,2003,,0,,,,,VEI,0,0,XXXX,X,,0,0,,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,F1,20031016,0
DE,501373,1,53515,,,,0,,1000,0,1500,1330,,A,JOV,20031016,,2003,,0,,,,,OIL,0,1,A,X,NOK,1,0,SYSTEMA A/S,24,IL-X BUD-SERVICE A/S,,NOK,24,0,IL-X BUD-SERVICE A/S,F1,20031016,0
DE,501373,1,53516,,,,0,,1000,0,1500,1330,,A,JOV,20031021,,2003,,0,,,,,OIL,0,1,XXXX,X,NOK,1,0,SYSTEMA A/S,24,IL-X BUD-SERVICE A/S,,NOK,24,0,IL-X BUD-SERVICE A/S,F1,20031021,0
NO,0,1,53517,,,,20,,OSL,0,,,O,A,JOV,20031021,,2003,,0,,,,,OIL,0,175,Svein Terje Berg,,,0,0,,175,BIRGIT VEGHEIM,X,,0,0,,,20011025,11
GB,501376,1,53518,,,,0,,LON,0,,,,D,SH,20031024,,01093297001,,0,,000101067,,"Fred Olsen,Sørenga",,117,0,LAURA ASHLEY,,NOK,50,0,VOLVO BM MASKIN A/S,0,LAURA ASHLEY,,NOK,20,0,THOROLF GREGERSEN A/S,FT,20031024,0
DE,501377,1,53519,,,,0,,1000,0,,,,D,SH,20031024,,00000000000,,0,,000000000,,,,0,24,Hartner GmbH,X,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,30,UNIMERCO AS,,NOK,50,0,VOLVO BM MASKIN A/S,FT,20031024,0
